Angle;S21 (Ori)
0;-40,32
5;-40,82
10;-40,6
15;-40,07
20;-39,8
25;-39,89
30;-39,65
35;-38,95
40;-39,48
45;-40,26
50;-40,25
55;-41,01
60;-43,6
65;-44,6
70;-45,68
75;-51,82
80;-51,94
85;-50,5
90;-54,14
95;-53,24
100;-51,43
105;-48,48
110;-52,95
115;-55,11
120;-48,83
125;-50,83
130;-50,5
135;-47,82
140;-49,65
145;-56,24
150;-51,19
155;-48,88
160;-48,39
165;-49,42
170;-50,5
175;-50
180;-49,89
185;-50,74
190;-50,27
195;-50,21
200;-52,22
205;-56,61
210;-55,41
215;-53,49
220;-52,96
225;-50,82
230;-48,4
235;-54,02
240;-55,23
245;-50,8
250;-63,33
255;-49,08
260;-47,81
265;-54,67
270;-47,61
275;-49,49
280;-54,07
285;-51,35
290;-57,53
295;-47,98
300;-45,25
305;-43,46
310;-40,8
315;-41,14
320;-40,39
325;-39,32
330;-39,44
335;-39,67
340;-40,03
345;-40,18
350;-39,77
355;-39,54
360;-39,88
